id,s/c,question,e1_gold,e1_predict,e2_gold,e2_predict,type_sc,r1_gold,r1_predict,r2_gold,r2_predict,constraint
381,S,Is Amharic the official language of Ethiopia?,ethiopia,ethiopia,amharic,amharic,type_true,officialLanguage,relatedMeanOfTransportation,,,no
382,S,Is God Save the Queen the national anthem of United Kingdom?,united_kingdom,united_kingdom,god_save_the_queen,god_save_the_queen,type_true,nationalAnthem,anthem,,,no
383,S,GetTV is owned by which organisation?,gettv,gettv,,,type_true,parentOrganisation,owningCompany,,,no
384,S,Who composed the music for Tonight's the Night ?,tonight's_the_night_(2003_musical),bobby_roth,,,type_false,music,musicBy,,,no
385,C,Bantam Spectra is the publisher of which series?,bantam_spectra,bantam_spectra,,,type_false,publisher,series,series,series,no
386,C,List the soccer players whose current team has the ground Stoke-on-Trent.,stoke-on-trent,stoke-on-trent,,,type_true,ground,ground,currentclub,ground,yes
387,C,Which operator of New Sanno Hotel is also the  governing body of the Oahu Railway and Land Company ?,new_sanno_hotel,new_sanno_hotel,oahu_railway_and_land_company,oahu_railway_and_land_company,type_true,operator,tenant,governingBody,governingBody,no
388,S,What movies have been written by authors of Monty Python ?,monty_python,monty_python,,,type_false,writer,author,,,no
389,C,List the things for which the relatives of Mrunalini Kunte are known?,mrunalini_kunte,mrunalini_kunte,,,type_false,relative,relative,knownFor,occupation,no
390,S,Did Bob Dylan write the lyrics of the times they are a changin'?,the_times_they_are_a-changin'_(musical),the_times_they_are_a-changin'_(musical),bob_dylan,bob_dylan,type_true,lyrics,lyrics,,,no
391,S,Who is a religious figure titled superior general?,superior_general,superior_general,,,type_true,title,knownFor,,,no
392,C,What is the military unit whose command structures are United States Department of the Navy and United States Department of Defense?,united_states_department_of_the_navy,united_states_department_of_the_navy,united_states_department_of_defense,united_states_department_of_defense,type_true,commandStructure,commandStructure,commandStructure,commandStructure,yes
393,C,How many TV shows are of the company which are of company which is a subsidiary of Big  Ticket Entertainment ?,big_ticket_entertainment,big_ticket_entertainment,,,type_true,subsidiary,company,company,company,yes
394,S,Which are the predecessor of Chevrolet Caprice?,chevrolet_caprice,chevrolet_caprice,,,type_true,predecessor,predecessor,,,no
395,C,What was recorded by Live in Detroit MI and also place of birth of the Bodhin Kjolhede?,live_in_detroit_mi,,bodhin_kjolhede,,type_true,recordedIn,artist,placeOfBirth,birthPlace,no
396,C,Name a person who works in Open Society Foundation and has wife named Susan Weber Soros ?,open_society_foundations,open_society_foundations,susan_weber_soros,susan_weber_soros,type_true,employer,employer,spouse,spouse,yes
397,C,What is a common nickname given to both Lyons Township high school and the wheaton college in massachusetts?,lyons_township_high_school,lyons_township_high_school,wheaton_college_(massachusetts),,type_true,nickname,nobelLaureates,nickname,knownFor,no
398,C,Count the number of religions followed by BJP members.,bharatiya_janata_party,bharatiya_janata_party,,,type_true,party,party,religion,religion,no
399,C,What is the almamater of the president whose vice president was Enrique Jos Varona?,enrique_jos_varona,enrique_jos_varona,,,type_true,vicePresident,vicePresident,almaMater,vicePresident,no
400,C,Directors of which movies are buried in Ronda?,ronda,ronda,,,type_true,restingPlace,starring,director,restingPlace,no
401,C,In which states does the river flow whose left tributary is Toms Creek?,toms_creek_(monocacy_river),toms_creek_(monocacy_river),,,type_true,leftTributary,rightTributary,state,mouthCountry,no
402,C,Which music band made Take Me There and to which Tedd Riley was associated?,teddy_riley,teddy_riley,take_me_there_(blackstreet_&_m媒a_song),dafenham_wind_turbines,type_true,associatedBand,bandMember,musicalBand,musicalArtist,no
403,C,Name the team which is owned by Dafenham wind turbines and stood first in 1967 mexican Grand Prix ?,1967_mexican_grand_prix,1967_mexican_grand_prix,dagenham_wind_turbines,,type_true,firstTeam,location,owner,owner,no
404,C,What are the movies whose music composer uses a Hammond organ?,hammond_organ,organ_(music),,,type_true,instrument,architecturalStyle,musicComposer,musicComposer,yes
405,C,What religion do the Wickramabahu Centeral College and Neungin High School both follow?,wickramabahu_central_college_(national_school),wickramabahu_central_college_(national_school),neungin_high_school,neungin_high_school,type_true,religiousAffiliation,religion,religiousAffiliation,religion,no
406,S,Where Everybody knows you is the theme album of which show ?,where_everybody_knows_your_name,everybody_knows_(sonia_album),,,type_false,album,album,,,no
407,C,What is on the border of the places which fall under crook county municipality oregon?,crook_county_oregon,crook_county_oregon,,,type_true,municipality,municipality,border,border,no
408,C,Name the company founded in New Mexico and provides Outlook.com as services ?,new_mexico,new_mexico,outlook.com,outlook.com,type_true,foundation,foundationPlace,services,knownFor,yes
409,S,Who edited Easy street ?,easy_street_(film),easy_street_(film),,,type_true,editing,editing,,,no
410,C,What religion are the characters of Absolutely Fabulous from?,absolutely_fabulous,absolutely_fabulous,,,type_false,series,starring,religion,religion,yes
411,C,Where does the river begin whose left tributary is Krapanski Potok?,krapanski_potok,krapanski_potok,,,type_true,leftTributary,riverMouth,source,mouthCountry,no
412,C,Name all the soccer players who played in a under 18 club for La Liga?,la_liga,la_liga,,,type_true,league,league,youthclubs,team,yes
413,S,Count the number of region of AN/FSQ-7 Combat Direction Central?,fsq-7_combat_direction_central,fsq-7_combat_direction_central,,,type_false,region,region,,,no
414,S,Where was Special 26 recorded ?,special_26,special_26,,,type_true,recorded,recordedIn,,,no
415,S,List the people with Scientology as their religious belief?,scientology,,,,type_true,religion,religion,,,no
416,C,List common systems are developed by of the Google Videos and written by of the Google Web Toolkit ?,google_videos,google_videos,google_web_toolkit,google_web_toolkit,type_true,developer,developer,author,programmingLanguage,no
417,S,Is the book The Buddha and his Dhamma a book about Buddhism?,the_buddha_and_his_dhamma,,buddhism,,type_true,literaryGenre,literaryGenre,,,no
418,C,For a position in which institution were both Jack Ryan and Robert sarvis both appointed?,jack_ryan_(politician),jack_ryan_(politician),robert_sarvis,robert_sarvis,type_true,nominee,nominee,nominee,otherParty,yes
419,S,Where was Sino-French War fought ?,sino-french_war,sino-french_war,,,type_true,territory,battle,,,no
420,S,Who is the owner of  Chelsea F.C. ?,chelsea_f.c.,chelsea_f.c.,,,type_true,owner,owner,,,no
421,C,What is the political party of Arun Chandra Guha and Indira Gandhi?,arun_chandra_guha,arun_chandra_guha,indira_gandhi,indira_gandhi,type_true,party,party,party,party,no
422,S,How many bacterias are there whose division is Firmicutes?,firmicutes,firmicutes,,,type_false,division,division,,,no
423,S,What famous politician died in the Petersen House?,petersen_house,petersen_house,,,type_true,deathPlace,deathPlace,,,no
424,C,Where was the person born who died in Bryn Mawr Hospital?,bryn_mawr_hospital,bryn_mawr_hospital,,,type_true,placeOfDeath,deathPlace,placeOfBirth,deathPlace,no
425,C,Name the mountain whose parent peak is located in Mexico.,state_of_mexico,mexico,,,type_true,locatedInArea,locatedInArea,parentMountainPeak,parentMountainPeak,yes
426,S,Where was Ne daj se Nina first aired ?,ne_daj_se_nina,ne_daj_se_nina,,,type_true,firstAired,network,,,no
427,C,In which country's cuisine ham is an important part?,ham,hamburger_sv,,,type_false,mainIngredient,part,country,keyPerson,no
428,S,Who operates twin Cities 400 ?,twin_cities_400,,,,type_true,operatedBy,operatedBy,,,no
429,C,What place did Edwin Adams die at which gave birth to William A Purtell?,edwin_adams_(politician),edwin_adams_(politician),william_a._purtell,william_a._purtell,type_true,placeOfDeath,deathPlace,birthPlace,birthPlace,no
430,S,Count the water bodies that flow into the North Sea?,north_sea,baltic_sea,,,type_false,inflow,mouthMountain,,,no
431,C,List the sports of PATTS College of Aeronautics which are of interest of Jon Speelman ?,patts_college_of_aeronautics,,jon_speelman,jon_speelman,type_true,athletics,athletics,field,field,no
432,C,Name the movies directed by Stanley Kubrick and edited by Anthony Harvey?,stanley_kubrick,stanley_kubrick,anthony_harvey,anthony_harvey,type_true,director,director,editing,editing,yes
433,S,Did Umkhonto we Sizwe had Nelson Mandela as a commander?,umkhonto_we_sizwe,umkhonto_we_sizwe,nelson_mandela,nelson_mandela,type_true,notableCommanders,notableCommander,,,no
434,C,Which location city of the Denver Broncos is the place of birth of Steven Clark Cunningham ?,denver_broncos,denver,steven_clark_cunningham,steven_clark_cunningham,type_true,locationCity,locationCity,birthPlace,birthPlace,no
435,S,in which movies have momoki kochi acted,momoko_kchi,momoko_kchi,,,type_true,starring,starring,,,no
436,C,What are the television shows whose network's stockholder is Warner Bros. Television?,warner_bros._television,warner_bros._television,,,type_true,owner,owningCompany,network,network,yes
437,C,Which owner of Chelsea F.C also owns Evraz ?,evraz,evraz,chelsea_f.c.,chelsea_f.c.,type_true,owningCompany,owner,owner,owner,no
438,S,List the ethnicity of Riley Reid?,riley_reid,riley_reid,,,type_true,ethnicity,ethnicity,,,no
439,C,Who won the silver medal when the bronze was won by Yang Yilin?,yang_yilin,yang_yilin,,,type_true,bronzeMedalist,bronzeMedalist,silverMedalist,silverMedalist,no
440,C,Name the office holder with associate as Marcus Calpurnius Bibulus and has a kid named Augustus?,marcus_calpurnius_bibulus,marcus_calpurnius_bibulus,augustus,augustus,type_true,associate,associate,child,associate,yes
441,S,Is fox belong to the phylum of Chordate?,fox,fox,chordate,chordate,type_true,phylum,phylum,,,no
442,C,What is the total number of other destinations of the airlines whose one of the destinations is Mediterranean Sea?,mediterranean_sea,mediterranean_sea,,,type_true,destinations,related,destinations,destination,no
443,S,List the software developed by Shawn Fanning ?,shawn_fanning,shawn_fanning,,,type_true,developer,developer,,,no
444,C,Count the number of things people who know linguistics are known for ?,linguistics,,,,type_false,knownFor,knownFor,knownFor,knownFor,no
445,C,Who is the stockholder of the road tunnels operated by the Massachusetts Department of Transportation?,massachusetts_department_of_transportation,massachusetts_department_of_transportation,,,type_true,operator,operatedBy,owner,owner,yes
446,C,What is the home stadium of the club coached by Justine Omojong?,justine_omojong,justine_omojong,,,type_true,coach,coach,homeStadium,stadium,yes
447,C,Who is the owner of the website which has the label Seed Eight ?,seed_eight,seed_eight,,,type_true,label,recordLabel,owner,owner,yes
448,C,What is the organisation whose purposes are Environmentalism and Peace?,environmentalism,environmentalism,peace,peace_river,type_true,purpose,profession,purpose,foundationPlace,yes
449,C,Name the garrison of the Western Naval Command and line of the Vadodara Junction railway station ?,western_naval_command,western_naval_command,vadodara_junction_railway_station,vadodara_junction_railway_station,type_true,garrison,garrison,line,servingRailwayLine,no
450,C,Which cloud platform of Google cloud connect also provides services to 21Vianet ?,21vianet,21vianet,google_cloud_connect,google_cloud_connect,type_true,services,service,computingPlatform,computingPlatform,no
451,C,Who wrote the album coming right before Dead Man's Chest's OST?,pirates_of_the_caribbean:_dead_man's_chest_(soundtrack),pirates_of_the_caribbean:_dead_man's_chest_(soundtrack),,,type_true,nextAlbum,previousWork,writer,writer,yes
452,C,What is the university to which Erica Frank went and where Ivan Toplak was a club manager?,erica_frank,erica_frank,ivan_toplak,ivan_toplak,type_true,institution,institution,managerClub,managerClub,no
453,C,What is the hometown of the residents of Martha's vineyards?,martha's_vineyard,martha's_vineyard,,,type_false,residence,hometown,hometown,hometown,no
454,S,How many soccer manager have been in the Spain nation football team?,spain_national_football_team,spain_national_football_team,,,type_false,nationalteam,managerClub,,,no
455,C,Who is the owner of  Latvian Wikipedia and Wiktionary ?,latvian_wikipedia,latvian_wikipedia,wiktionary,wiktionary,type_true,owner,owner,owner,owner,no
456,S,Philadelphia City Council is the governing body of which city?,philadelphia_city_council,philadelphia_city_council,,,type_false,governingBody,governingBody,,,no
457,C,What nation is Hornito located in where Jamie Bateman Cayn died too?,jaime_bateman_cayn,jaime_bateman_cayn,hornito_chiriqu?,,type_true,deathPlace,birthPlace,country,country,no
458,C,List the Sci-fi TV shows with theme music given by Ron Grainer?,science_fiction,,ron_grainer,ron_grainer,type_true,genre,openingTheme,themeMusicComposer,openingTheme,yes
459,C,How many shows belong to the network one of whose sister station is Cartoonite?,cartoonito,cartoonito,,,type_true,sisterStation,sisterStation,network,network,yes
460,C,Where are all the protected areas near Bend Oregon?,bend_oregon,,,,type_false,nearestCity,countySeat,location,location,yes
461,S,Count all the stateless people,statelessness,,,,type_true,citizenship,nationality,,,no
462,C,River which flows into the eugene mahoney state park pass through which states?,eugene_t._mahoney_state_park,eugene_t._mahoney_state_park,,,type_true,mouthLocation,mouthMountain,state,mouthCountry,no
463,C,For how many cities's teams did David Bowens play?,david_bowens,david_bowens,,,type_true,formerTeam,formerTeam,locationCity,team,yes
464,C,What is the political party of the daughter of Jawaharlal Nehru ?,jawaharlal_nehru,jawaharlal_nehru,,,type_true,child,relation,party,party,no
465,S,Where was david Scherman trained ?,david_scherman,david_scherman,,,type_true,training,training,,,no
466,S,In which country is Sierra del Merendin?,sierra_del_merendn,sierra_del_merendn,,,type_true,country,country,,,no
467,C,Which teams have used the stadium whose architect was Populous ?,populous_(company),populous_(company),,,type_true,architect,architect,tenant,tenant,yes
468,C,What is the birthplace of Ludovic Boi which is also the residence of Fernando Augustin?,ludovic_boi,ludovic_boi,fernando_augustin,fernando_augustin,type_true,birthPlace,team,residence,residence,no
469,C,To which uni. did  sidney c patridge and cyril hume both once went?,sidney_catlin_partridge,,cyril_hume,cyril_hume,type_true,education,deathPlace,education,basedOn,no
470,S,Name the appointer of William Clark ?,william_clark,william_clark,,,type_true,appointer,appointer,,,no
471,C,What sport played at Islamic azad uni employes Craig Van Tilbury?,craig_van_tilbury,,islamic_azad_university_central_tehran_branch,,type_true,occupation,occupation,sport,sport,no
472,C,Whose military units are VMF-218 and VMF-155?,vmf-218,vmf-218,vmf-155,vmf-155,type_true,militaryUnit,militaryUnit,militaryUnit,militaryUnit,no
473,C,What is the origin of the musical artist of A Todo Romantic Style ?,a_todo_romantic_style,a_todo_romantic_style,,,type_false,artist,artist,origin,musicalBand,no
474,S,Name all the products produced by the producer of United States dollar ?,united_states_dollar,united_states_dollar,,,type_false,product,product,,,no
475,C,name the region served by Jerusalem Institue of Justice which was also the conflict region in GazaIsrael ?,jerusalem_institute_of_justice,jerusalem_institue_of_justice,gazaCisrael_conflict,gazaCisrael_conflict,type_true,service,keyPerson,result,place,no
476,C,What are the awards won by the person who wrote the screen play for Lost in Rio ?,oss_117:_lost_in_rio,,,,type_true,screenplay,starring,awards,award,no
477,S,Did Annie Leibovitz do the cover of The Road Ahead?,the_road_ahead_(bill_gates_book),,annie_leibovitz,,type_true,coverArtist,literaryGenre,,,no
478,C,Who  has these major shrines  : Emmitsburg Maryland and Shrine of St. Elizabeth Ann Bayley Seton?,emmitsburg_maryland,emmitsburg,shrine_of_st._elizabeth_ann_bayley_seton,,type_true,majorShrine,majorShrine,majorShrine,majorShrine,no
479,C,To which places do the flights go by airlines headquartered in the UK?,united_kingdom,united_kingdom,,,type_true,headquarters,operator,destinations,destination,yes
480,C,Relatives of Moses used to follow which religions?,moses,moses,,,type_true,relative,relation,veneratedIn,veneratedIn,no
481,C,Who influenced the author of The Shooting of Dan McGrew ?,the_shooting_of_dan_mcgrew_(1924_film),dan_mcgrew,,,type_true,writer,writer,influences,influencedBy,no
482,C,What is the parent company of the airline whose hub is in Detroit?,detroit,detroit,,,type_true,hubs,parentOrganisation,parentCompany,parent,yes
483,C,Count the PhD students whose thesis are supervised by National Medal of Science winners?,national_medal_of_science,national_medal_of_science,,,type_true,prizes,award,doctoralStudents,doctoralAdvisor,no
484,C,Name the artist who made Dream Dancing and is often associated with Joe Pass?,joe_pass,joe_pass,dream_dancing_(album),dream_dancing_(album),type_true,associatedBand,associatedBand,artist,subsequentWork,no
485,S,What is the relegious affiliations of Katyayana ?,katyayana_(buddhist),katyayana_(buddhist),,,type_true,religion,religion,,,no
486,C,How many people have led agencies in German occupied Europe?,german-occupied_europe,german-occupied_europe,,,type_true,jurisdiction,jurisdiction,leader,leader,no
487,S,What is the citizenship of Saima Chowdhury?,saima_chowdhury,saima_chowdhury,,,type_true,citizenship,citizenship,,,no
488,C,Who was the cover artist of The Adventure of Tom Sawyer also wrote mark Twain Tonight ?,the_adventures_of_tom_sawyer,,mark_twain_tonight,,type_true,coverArtist,coverArtist,writer,author,no
489,C,What religion do the politicians follow who graduated from the Yokkohama Nationaal University?,yokohama_national_university,yokohama_national_university,,,type_true,almaMater,almaMater,religion,religion,yes
490,C,Which battles were fought under the president when Chung Won Shik was the prime minister?,chung_won-shik,,,,type_true,primeminister,primeMinister,battles,battle,yes
491,S,Which are the  automobile platform whose one of the automobile platform is Dodge ?,dodge,dodge,,,type_false,automobilePlatform,automobilePlatform,,,yes
492,C,Name the islands that belong to the archipelago whose largest city is Papeete?,papeete,papeete,,,type_true,largestCity,largestCity,archipelago,archipelago,no
493,C,Where did the beverages sold by Refriango originate?,refriango,refriango,,,type_true,manufacturer,manufacturer,origin,origin,yes
494,C,What is the region served by the governor of Stephen L.R. McNichols ?,stephen_l.r._mcnichols,stephen_l.r._mcnichols,,,type_true,governor,governor,region,regionServed,no
495,S,Is morrissey in the smiths?,morrissey,morrissey,the_smiths,the_smiths,type_true,associatedBand,formerBandMember,,,no
496,C,Who is the chancellor of the university whose campus is in Woodlane New Jersey ?,woodlane_new_jersey,woodlane_new_jersey,,,type_true,campus,campus,chancellor,chancellor,yes
497,S,Did the New Way party merge in the One Israel party?,new_way_(israel),,one_israel,,type_true,mergedIntoParty,otherParty,,,no
498,S,Name some ww1 veterans?,world_war_i,,,,type_true,battles,origin,,,no
499,C,Where can one find some quick bread in the world?,quick_bread,quick_(1932_film),,,type_false,type,ingredient,region,region,no
500,S,Was John Muir the first one to ascend one of the peaks in the cathedral peak?,cathedral_peak_(california),cathedral_peak_(california),john_muir,john_muir,type_true,firstAscentPerson,firstAscentPerson,,,no
501,S,What musicians are signed up with colpix records?,colpix_records,colpix_records,,,type_true,label,recordLabel,,,no
502,C,What is the river whose source region is North-Western Province Zambia and river mouth is Indian Ocean?,north-western_province_zambia,north-western_province_zambia,indian_ocean,indian_ocean,type_true,sourceRegion,sourceRegion,riverMouth,riverMouth,yes
503,C,What awards have been given to race horses bred by Bert Michell?,bert_s._michell,bert_s._michell,,,type_true,trainer,trainer,honours,honours,yes
504,C,What sports are played in schools where Swahili is the official language?,swahili_language,,,,type_true,language,language,sport,sport,no
505,C,Which famous horserace has seen both Fergie sutherland and the illustrious War of Attrition?,war_of_attrition_(horse),,fergie_sutherland,fergie_sutherland_of_attrition,type_true,race,trainer,race,occupation,no
506,C,Which governer of Winston bryant is also the president of Carl Stokes ?,winston_bryant,winston_bryant,carl_stokes,carl_stokes,type_true,governor,governor,president,president,no
507,C,Which military unit garrison is Arlington County Virginia and The Pentagon?,arlington_county_virginia,arlington_county_virginia,the_pentagon,,type_true,garrison,garrison,garrison,garrison,yes
508,S,Was John Boehner the winner of the US House of Representatives elections in Ohio in 2010?,united_states_house_of_representatives_elections_in_ohio_2010,,john_boehner,john_boehner,type_true,incumbent,seeAlso,,,no
509,C,What is the alma mater of the scientist  whose PhD advisor is Jean-Claude Latombe ?,jean-claude_latombe,jean-claude_latombe,,,type_true,doctoralAdvisor,doctoralAdvisor,almaMater,almaMater,yes
510,C,What is the river whose mouth mountain is St. Louis and right tributary is Madison River?,st._louis,st._louis,madison_river,madison_river,type_true,mouthMountain,riverMouth,rightTributary,riverMouth,yes
511,S,Name the country with currency as Aureus ?,aureus,staphylococcus_aureus,,,type_true,currency,currency,,,no
512,C,Where is the headquarters of the public transit system which owns Target Field a Metro Transit Station  ?,target_field_(metro_transit_station),metro_transit_station,,,type_true,owningOrganisation,owningOrganisation,headquarters,routeStart,no
513,C,Which party won both the general election and the andhra pradesh election in 2004?,indian_general_election_2004_(delhi),,indian_general_election_2004_(andhra_pradesh),general_election_the_andhra_pradesh_election_in_2004,type_true,affiliation,affiliation,affiliation,affiliation,no
514,S,Which airlines fly to Gimhae International Airport?,gimhae_international_airport,gimhae_international_airport,,,type_true,targetAirport,targetAirport,,,no
515,S,Where is Denver Broncos located ?,denver_broncos,denver,,,type_true,locationCity,locationCity,,,no
516,C,What is the birthplace of Adugna Deyas and the place where Fiq is located?,fiq_ethiopia,fiqh,adugna_deyas,adugna_deyas,type_true,country,isPartOf,birthPlace,birthPlace,no
517,C,Name the movies for which music was given by  Geoffrey Burgon and distributed by Cinema International Corporation?,geoffrey_burgon,geoffrey_burgon,cinema_international_corporation,cinema_international_corporation,type_true,music,musicComposer,distributor,distributor,yes
518,C,Count the total number of academic discipline of the journals whose one of the academic discipline is Neuroimaging ?,neuroimaging,neuroimaging,,,type_true,academicDiscipline,academicDiscipline,academicDiscipline,academicDiscipline,no
519,S,To which country is Svetlana Navasardyan from?,svetlana_navasardyan,svetlana_navasardyan,,,type_true,origin,hometown,,,no
520,C,What is the faith of the Ajith Perera and religious affiliation of the Neungin High School?,ajith_perera,ajith_perera,neungin_high_school,neungin_high_school,type_true,religion,religion,religiousAffiliation,religion,no
521,C,What are the awards won by the film director of Saraband ?,saraband,saraband,,,type_true,director,cinematography,awards,award,no
522,S,What are the notableworks of Russell T Davies?,russell_t_davies,russell_t_davies,,,type_true,notableworks,seeAlso,,,no
523,C,Horses grandsired by Sundridge  have won which awards?,sundridge_(horse),sundridge_(horse),,,type_true,grandsire,grandsire,honours,honours,yes
524,C,What is the nickname of the home stadium of Angels Toru?,angels_toru,angels_toru,,,type_true,homeStadium,homeStadium,nickname,homeStadium,no
525,C,What are the bands associated with the artists of My Favorite Girl  ?,my_favorite_girl_(dave_hollister_song),my_favorite_girl_(dave_hollister_song),,,type_true,artist,musicalArtist,associatedBand,bandMember,no
526,C,Which religion do the people follow whose constituency is Jadavpur?,jadavpur_(lok_sabha_constituency),jadavpur_(lok_sabha_constituency),,,type_true,constituency,isPartOf,religion,religion,yes
527,C,Name an American football player whose debuted in Chicago Bears and former team is 1998 Baltimore Ravens season?,chicago_bears,chicago_bears,1998_baltimore_ravens_season,1998_baltimore_ravens_season,type_true,debutteam,debutTeam,formerTeam,formerTeam,yes
528,C,What other things are provided by the producer of Office 365?,office_365,office_365,,,type_true,service,product,services,manufacturer,no
529,C,What are the software whose programming language are Multilingual?,multilingualism,multilingualism,,,type_true,language,language,programmingLanguage,programmingLanguage,yes
530,C,What is the political party of the person succeeded by A.K. Singh?,a._k._singh,a._k._singh,,,type_true,successor,successor,party,party,yes
531,C,What was the career of some people who have committed suicide?,suicide,,,,type_true,deathCause,deathCause,occupation,influencedBy,no
532,S,Is Pittsburgh Steelers the former team of Marv McFadden?,marv_mcfadden,marv_mcfadden,pittsburgh_steelers,pittsburgh_steelers,type_true,pastteams,formerTeam,,,no
533,S,Name the institute of Alton Ochsner ?,alton_ochsner,alton_ochsner,,,type_true,institution,institution,,,no
534,S,Was James maker in the band Noko?,noko,noko,james_maker,james_maker,type_true,associatedBand,bandMember,,,no
535,C,Name the constituency of Jonas Gahr where Sverre Krogh was born ?,jonas_gahr_st酶re,,sverre_krogh_sundb?,,type_true,constituency,leader,birthPlace,birthPlace,no
536,S,Which company owns Sony bank ?,sony_bank,sony_bank,,,type_true,owningCompany,owningCompany,,,no
537,S,who was the president under whom winston bryant served as a lieutenant?,winston_bryant,winston_bryant,,,type_false,lieutenant,lieutenant,,,no
538,S,Is Essex the Ceremonial County of West Tilbury?,west_tilbury,west_tilbury,essex,essex,type_true,ceremonialCounty,ceremonialCounty,,,no
539,C,Which director of On deadly Ground also released Mojo Priest ?,mojo_priest,mojo_priest,on_deadly_ground,on_deadly_ground,type_true,artist,previousWork,director,director,no
540,C,Name the common nationality of Georgina Theodora Wood and akwasi Oppong Fosu ?,georgina_theodora_wood,georgina_theodora_wood,akwasi_oppong_fosu,,type_true,nationality,nationality,nationality,nationality,no
541,C,What is the sovereign state of the Dafydd Benfras where Jasmine Lowson is also citizen of ?,dafydd_benfras,,jasmine_lowson,jasmine_lowson,type_true,country,country,citizenship,stateOfOrigin,no
542,S,What are the nicknames given to the characters of The Wolves of the Mercy Falls?,list_of_the_wolves_of_mercy_falls_characters,mercy_falls,,,type_false,nickname,species,,,no
543,S,List the territory of Tonkin Campaign ?,tonkin_campaign,tonkin_campaign,,,type_true,territory,territory,,,no
544,C,What other awards have been given to Golden Globe winners?,golden_globe_award,golden_globe_award,,,type_false,award,award,awards,award,no
545,C,Name the tenants of MAsterCard center wich is also the draft team of Antoine Bibeau?,mastercard_centre,mastercard_centre,antoine_bibeau,antoine_bibeau,type_true,tenants,tenant,draftTeam,draftTeam,no
546,C,Which awards have been given to scientists that graduated from NKU athens?,national_and_kapodistrian_university_of_athens,national_and_kapodistrian_university_of_athens,,,type_true,almaMater,almaMater,award,award,yes
547,S,Name the club of Julie Hastings ?,julie_hastings,julie_hastings,,,type_true,club,club,,,no
548,C,Whose creators are Jerry Seinfeld and Larry David?,jerry_seinfeld,jerry_seinfeld,larry_david,larry_david,type_true,creator,creator,creator,creator,no
549,S,Which artist married to Lee Krasner?,lee_krasner,lee_krasner,,,type_true,spouse,spouse,,,no
550,S,Was Francisco Pizarro of the monarch of Charles 5 of the roman empire?,francisco_pizarro,francisco_pizarro,charles_v_holy_roman_emperor,,type_true,monarch,monarch,,,no
551,C,Who appointed both John Drayton and William Clark to their respective offices?,john_drayton,john_drayton,william_clark,william_clark,type_true,appointer,appointer,appointer,appointer,no
552,C,Who debuted their career in a team coached by Chip Kelly?,chip_kelly,chip_kelly,,,type_true,coach,coach,debutTeam,debutTeam,no
553,C,How many albums did the maker of The Band produce?,the_band,,,,type_true,artist,distributor,subsequentWork,musicalArtist,yes
554,S,Name few movies directed by Tim Burton ?,tim_burton,tim_burton,,,type_true,director,director,,,yes
555,C,Who has fought in wars under commander Arthur St Clair?,arthur_st._clair,arthur_st._clair,,,type_true,commander,commander,combatant,commander,no
556,C,What is telecasted on the network where Deborah Turness holds important position?,deborah_turness,deborah_turness,,,type_true,keyPerson,keyPerson,network,network,no
557,C,Who is the owner of the bank which owns Bloomberg Radio?,bloomberg_radio,bloomberg_radio,,,type_true,owner,owner,owner,owner,yes
558,C,What is a common ingredient used in boyt Blodpalt and Kaszanka ?,blodpalt,,kaszanka,kaszanka,type_true,ingredient,ingredient,ingredient,ingredient,no
559,S,what kind of things play on WBIG FM?,wbig-fm,wbig-fm,,,type_true,programmeFormat,programmeFormat,,,no
560,S,What is the serving railway line of Warwick railway station Perth ?,warwick_railway_station_perth,,,,type_false,servingRailwayLine,servingRailwayLine,,,no
561,C,Who was the prime minister under which the predecessor of Derick Heathcoat Amory served?,derick_heathcoat-amory_1st_viscount_amory,derick_heathcoat-amory_1st_viscount_amory,,,type_true,successor,predecessor,primeminister,predecessor,no
562,C,Who wrote the subsequent work of One Day at a Time (Em's Version) ?,one_day_at_a_time_(em's_version),one_day_at_a_time_(em's_version),,,type_true,subsequentWork,subsequentWork,writer,writer,no
563,C,List the movies edited by Julian Doyle in which music was composed by Geoffrey Brugon ?,geoffrey_burgon,geoffrey_burgon,julian_doyle_(filmmaker),julian_doyle_(filmmaker),type_true,music,musicComposer,editing,editing,yes
564,S,Is Anne Hidalgo the mayor of Paris?,paris,joseph_fran?ois_paris,anne_hidalgo,anne_hidalgo,type_true,mayor,mayor,,,no
565,C,In which city of Pittsburg Steelers was the Congress of Inductrial Organization founded ?,congress_of_industrial_organizations,congress_of_inductrial_organization,pittsburgh_steelers,pittsburgh_steelers,type_true,founded,affiliation,city,knownFor,no
566,S,What are the settlements whose neighboring municipalities is Lancy?,lancy,lancy,,,type_false,neighboringMunicipalities,neighboringMunicipality,,,no
567,C,What currencies are used in the country whose capital is Podgorica?,podgorica,podgorica,,,type_true,capital,capital,currency,currency,no
568,C,Which rivers start from the Provinces of Zambia?,provinces_of_zambia,zambia,,,type_false,settlementType,type,sourceRegion,sourceRegion,yes
569,S,Georg Meissner was doctoral supervisor of which scientist ?,georg_meissner,georg_meissner,,,type_true,doctoralAdvisor,doctoralAdvisor,,,no
570,C,How many movies have a screenplay located in the States?,united_states,united_states,,,type_true,birthPlace,mountainRange,screenplay,editing,yes
